image_id,file_path,SMILES
2008224763_22_chem,real/JPO/2008224763_22_chem.png,CC1=CC=C(S(=O)(=O)NC2=CC=CC=C2)C=C1
2008266237_44_chem,real/JPO/2008266237_44_chem.png,O=C(CN1CCN(C2=C(F)C=CC=C2)CC1)NC1=CC=CC=C1SC1=CC=C(Cl)C=C1
2008115090_2_chem,real/JPO/2008115090_2_chem.png,C=CCSS(=O)(=O)O
2008101015_67_chem,real/JPO/2008101015_67_chem.png,O=C(/C=C/C1=CC=C(N2C=CN=C2)C=C1)NC1C2=C(C=CC=C2)C2=C1C=CC=C2
2008233378_113_chem,real/JPO/2008233378_113_chem.png,C=CC1=CC=C(N(C2=CC=CC=C2)C2=CC=C(C3=CC=CC=C3)C=C2)C=C1
2008007566_12_chem,real/JPO/2008007566_12_chem.png,C1=CC(C(C2=CC=C(OCC3CO3)C=C2)C(C2=CC=C(OCC3CO3)C=C2)C2=CC=C(OCC3CO3)C=C2)=CC=C1OCC1CO1
2008231047_15_chem,real/JPO/2008231047_15_chem.png,CC1(C)C2=C(C=CC=C2)/C2=C1/C=C(/Br)C1=C2C=CC=C1
2008044949_80_chem,real/JPO/2008044949_80_chem.png,O=C(O)C1=CC=C(CNC(=O)C2=CC(F)=CN=C2CC2=CC=C(F)C=C2)C=C1
2008094933_9_chem,real/JPO/2008094933_9_chem.png,O=[PH]1OC2=CC=CC=C2C2=CC=CC=C21
2008094741_21_chem,real/JPO/2008094741_21_chem.png,C=C(C)COC(=O)C1C2C=CC(C2C)C1C(=O)OCC(=C)C
2008201798_20_chem,real/JPO/2008201798_20_chem.png,O=C(NC1=CC=C(N2N=C(C3=CC=CN=C3)C=C2C(F)(F)F)C=C1)C1=C(NCCCCCO)N=CC=C1
2008115269_6_chem,real/JPO/2008115269_6_chem.png,CCCCCCC(C)(C)C(=O)OOC(C)(C)C
2008088245_2_chem,real/JPO/2008088245_2_chem.png,O=C1C=CC(=O)N1C1=CC=C(CC2=CC=C(N3C(=O)C=CC3=O)C=C2)C=C1
2008033140_62_chem,real/JPO/2008033140_62_chem.png,O=C(Cl)C1=CC=C(OC2=CC=C(C(=O)Cl)C=C2)C=C1
2008266331_28_chem,real/JPO/2008266331_28_chem.png,NCCNCCNCCNCCNCCN
2008310229_37_chem,real/JPO/2008310229_37_chem.png,COCOCCN(CCOCOC)CCOCOC
2008275949_47_chem,real/JPO/2008275949_47_chem.png,C=C(C)C(=O)OC(C)OCCOCC(F)(F)F
2008153105_4_chem,real/JPO/2008153105_4_chem.png,CC(C)(C)C1=CC=NC=C1
2008143913_63_chem,real/JPO/2008143913_63_chem.png,CC(C)(N)C1=CC=C(C2=CC=C3NN=CC3=C2C2=CC=NC=C2)C=C1
2008096968_55_chem,real/JPO/2008096968_55_chem.png,COC1=CC=C(N(C2=CC=CC=C2)C2=CC=C(/C=C\C3=CC=C(/C=C\C4=CC=C(N(C5=CC=CC=C5)C5=CC=C(OC)C=C5)C=C4)C=C3)C=C2)C=C1
2008208129_1088_chem,real/JPO/2008208129_1088_chem.png,O=C(O)CC1=CC(OCCC2(N3CCOCC3)CCN(C3=NC=C(C4=COC=C4)C=N3)CC2)=C(Cl)C=C1
2008088167_244_chem,real/JPO/2008088167_244_chem.png,C=C(C)C(=O)OCCOC(=O)C1=CC=C(C(=O)OCC(O)COC2=CC=C(CC3=CC=C(OCC4CO4)C=C3)C=C2)C=C1
2008291018_314_chem,real/JPO/2008291018_314_chem.png,COC1=CC=CC(C2OC(CCC3=NN=NN3)C3=CC=CN3C3=C2C=C(Cl)C=C3)=C1OC
2008106016_165_chem,real/JPO/2008106016_165_chem.png,C=CCN1C(=O)CC2(CC3C4=CC2C43)C1=O
2008094770_11_chem,real/JPO/2008094770_11_chem.png,C=CC(=O)OCCSC1=CC=C(C(=O)C2=CC=C3C(=C2)C2=C(/C=C\C(\C(C)=N\OC(=O)C(F)(F)F)=C/2)N3CC)C=C1
2008208129_1092_chem,real/JPO/2008208129_1092_chem.png,O=C(O)CC1=CC(OCCC2(N3CCOCC3)CCN(C3=NC4=CC=C(C(F)(F)F)C=C4S3)CC2)=CC=C1
2008056680_130_chem,real/JPO/2008056680_130_chem.png,CC(C)(C)OC(=O)NCC1=CC=CC(I)=C1
2008201714_32_chem,real/JPO/2008201714_32_chem.png,COCC1=CC=C(COC)C=C1
2008254447_5_chem,real/JPO/2008254447_5_chem.png,CC(C)(C1CCC(OCCO)CC1)C1CCC(OCCO)CC1
2008225458_12_chem,real/JPO/2008225458_12_chem.png,CN(CC1CO1)CC1CO1
2008189923_8_chem,real/JPO/2008189923_8_chem.png,CCC1=CC(C(C2=CC(CC)=C(N)C(CC)=C2)C2=C(Cl)C=CC=C2Cl)=CC(CC)=C1N
2008198989_81_chem,real/JPO/2008198989_81_chem.png,C=C(C)C(=O)OC1=CC=C(C2=CC=C(N(C3=CC=C(C4=CC=C(OC(=O)C(=C)C)C=C4)C=C3)C3=CC=C(C4=CC=C(OC(=O)C(=C)C)C=C4)C=C3)C=C2)C=C1
2008091762_13_chem,real/JPO/2008091762_13_chem.png,NC1=CC=CC(C2=NC3=C(C=C4OC(C5=CC=CC(N)=C5)=NC4=C3)O2)=C1
2008124295_4_chem,real/JPO/2008124295_4_chem.png,NC1=CC=CC(C2=NC3=CC(N)=CC=C3O2)=C1
2008101015_439_chem,real/JPO/2008101015_439_chem.png,COC1=C(N2C=NC(C)=C2)C=CC(/C=C2\CCCN(C(CO)C3=CC(F)=C(F)C(F)=C3)C2=O)=C1
2008120831_16_chem,real/JPO/2008120831_16_chem.png,C=CCN1C2=C(/N=C\1Cl)NC(=O)NC2=O
